89420;TREVILLY
89430;TRICHEY
89700;TRONCHOY
89460;TRUCY SUR YONNE
89570;TURNY
89580;VAL DE MERCY
89580;VALLAN
89150;VALLERY
89320;VAREILLES
89144;VARENNES
89420;VASSY SOUS PISY
89320;VAUDEURS
89200;VAULT DE LUGNY
89320;VAUMORT
89210;VENIZY
89230;VENOUSE
89290;VENOY
89600;VERGIGNY
89330;VERLIN
89270;VERMENTON
89150;VERNOY
89510;VERON
89700;VEZANNES
89450;VEZELAY
89700;VEZINNES
89420;VIGNES
89340;VILLEBLEVIN
89150;VILLEBOUGIS
89320;VILLECHETIVE
89300;VILLECIEN
89240;VILLEFARGEAU
89120;VILLEFRANCHE
89140;VILLEMANOCHE
89113;VILLEMER
89140;VILLENAVOTTE
89150;VILLENEUVE LA DONDAGRE
89340;VILLENEUVE LA GUYARD
89190;VILLENEUVE L ARCHEVEQUE
89350;VILLENEUVE LES GENETS
89230;VILLENEUVE ST SALVES
89500;VILLENEUVE SUR YONNE
89140;VILLEPERROT
89100;VILLEROY
89140;VILLETHIERRY
89330;VILLEVALLIER
89260;PERCENEIGE
89160;VILLIERS LES HAUTS
89320;VILLIERS LOUIS
89130;VILLIERS ST BENOIT
89110;VILLIERS SUR THOLON
89360;VILLIERS VINEUX
89740;VILLON
89800;VILLY
89290;VINCELLES
89290;VINCELOTTES
89140;VINNEUF
89160;VIREAUX
89700;VIVIERS
89260;VOISINES
89710;VOLGRE
89270;VOUTENAY SUR CURE
89700;YROUERRE
